指标名称,安徽:建筑业:建筑业总产值:累计值,北京:建筑业:建筑业总产值:累计值,福建:建筑业:建筑业总产值:累计值,甘肃:建筑业:建筑业总产值:累计值,广东:建筑业:建筑业总产值:累计值,广西:建筑业:建筑业总产值:累计值,贵州:建筑业:建筑业总产值:累计值,海南:建筑业:建筑业总产值:累计值,河北:建筑业:建筑业总产值:累计值,黑龙江:建筑业:建筑业总产值:累计值,河南:建筑业:建筑业总产值:累计值,湖北:建筑业:建筑业总产值:累计值,湖南:建筑业:建筑业总产值:累计值,江苏:建筑业:建筑业总产值:累计值,江西:建筑业:建筑业总产值:累计值,吉林:建筑业:建筑业总产值:累计值,辽宁:建筑业:建筑业总产值:累计值,内蒙古:建筑业:建筑业总产值:累计值,宁夏:建筑业:建筑业总产值:累计值,青海:建筑业:建筑业总产值:累计值,山东:建筑业:建筑业总产值:累计值,上海:建筑业:建筑业总产值:累计值,陕西:建筑业:建筑业总产值:累计值,山西:建筑业:建筑业总产值:累计值,四川:建筑业:建筑业总产值:累计值,天津:建筑业:建筑业总产值:累计值,新疆:建筑业:建筑业总产值:累计值,西藏:建筑业:建筑业总产值:累计值,云南:建筑业:建筑业总产值:累计值,浙江:建筑业:建筑业总产值:累计值,重庆:建筑业:建筑业总产值:累计值
2009-09,1414.99 ,2479.93 ,1326.36 ,374.82 ,2410.57 ,566.99 ,331.03 ,81.11 ,1591.95 ,608.61 ,2081.05 ,2094.13 ,1659.44 ,5946.83 ,798.32 ,625.65 ,1832.74 ,583.91 ,170.73 ,120.94 ,2888.65 ,2365.64 ,1301.33 ,1108.78 ,2098.05 ,1235.04 ,488.07 ,62.25 ,732.78 ,5895.04 ,1242.54 
2009-12,2269.70 ,4059.76 ,2162.29 ,576.38 ,3666.71 ,926.95 ,508.65 ,142.75 ,2489.15 ,1327.06 ,3560.94 ,3409.02 ,2504.92 ,10181.30 ,1285.00 ,1151.75 ,3373.84 ,952.06 ,259.21 ,201.08 ,4578.31 ,3827.84 ,2312.99 ,1772.80 ,3289.08 ,1808.46 ,760.57 ,87.96 ,1179.16 ,9350.97 ,1887.16 
2010-03,462.55 ,710.17 ,424.23 ,75.23 ,749.21 ,196.34 ,101.14 ,32.72 ,349.19 ,16.12 ,608.85 ,766.78 ,507.75 ,1463.16 ,251.80 ,53.49 ,237.69 ,35.03 ,21.17 ,25.04 ,693.02 ,682.46 ,329.70 ,221.95 ,714.35 ,342.96 ,29.66 ,1.35 ,281.12 ,1892.21 ,430.48 
2010-06,1100.59 ,2014.01 ,993.90 ,273.89 ,1729.55 ,468.48 ,251.65 ,79.47 ,1150.70 ,322.38 ,1633.32 ,1685.61 ,1215.53 ,4142.51 ,606.10 ,368.86 ,1193.21 ,322.09 ,109.77 ,97.92 ,2117.36 ,1784.93 ,1077.64 ,703.51 ,1518.24 ,983.67 ,253.83 ,43.96 ,596.07 ,4347.77 ,1006.86 
2010-09,1796.66 ,3306.78 ,1670.93 ,483.38 ,2820.28 ,755.54 ,396.10 ,115.95 ,2012.75 ,809.33 ,2564.16 ,2631.70 ,2004.11 ,7083.61 ,1006.38 ,715.92 ,2433.31 ,665.39 ,216.89 ,169.70 ,3446.30 ,2735.81 ,1769.16 ,1270.78 ,2633.06 ,1633.80 ,596.74 ,65.04 ,915.89 ,7279.58 ,1621.53 
2010-12,2871.12 ,5196.02 ,2852.01 ,730.26 ,4500.59 ,1212.46 ,618.14 ,198.44 ,3210.77 ,1767.24 ,4399.80 ,4231.69 ,3134.98 ,12323.59 ,1677.02 ,1348.78 ,4693.28 ,1098.10 ,342.69 ,273.85 ,5495.11 ,4298.12 ,3126.13 ,2083.33 ,4147.68 ,2473.25 ,938.48 ,108.07 ,1496.44 ,11859.99 ,2498.39 
2011-03,625.68 ,884.10 ,583.90 ,99.94 ,944.04 ,259.27 ,137.49 ,42.90 ,444.88 ,18.95 ,781.60 ,1018.11 ,658.41 ,1773.14 ,334.15 ,61.23 ,326.91 ,43.05 ,26.69 ,37.06 ,838.52 ,739.23 ,450.21 ,252.94 ,921.36 ,456.24 ,37.01 ,4.14 ,348.85 ,2381.17 ,565.18 
2011-06,1401.38 ,2491.03 ,1368.29 ,362.74 ,2215.99 ,631.08 ,345.02 ,101.53 ,1473.47 ,407.47 ,2098.97 ,2207.30 ,1583.82 ,5029.64 ,793.15 ,434.08 ,1614.74 ,387.05 ,136.23 ,121.79 ,2539.01 ,1845.54 ,1479.86 ,781.33 ,1972.40 ,1269.04 ,326.53 ,33.31 ,753.89 ,5567.17 ,1338.04 
2011-09,2296.10 ,4111.00 ,2297.50 ,632.10 ,3619.80 ,984.50 ,540.80 ,153.40 ,2563.50 ,1053.00 ,3244.30 ,3402.60 ,2500.10 ,8687.40 ,1297.90 ,900.40 ,3298.80 ,816.80 ,264.70 ,195.90 ,4121.40 ,2900.00 ,2368.90 ,1384.90 ,3351.90 ,2012.10 ,786.40 ,68.30 ,1161.20 ,9296.20 ,2153.90 
2011-12,3599.40 ,6214.31 ,3696.45 ,911.69 ,5859.10 ,1552.16 ,825.84 ,254.72 ,3931.11 ,2133.68 ,5335.02 ,5617.29 ,3839.39 ,15062.18 ,2077.56 ,1615.43 ,6170.57 ,1377.90 ,417.05 ,319.90 ,6501.68 ,4579.37 ,4098.43 ,2246.49 ,5300.38 ,2925.57 ,1274.47 ,123.35 ,1867.06 ,14686.41 ,3320.19 
2012-03,745.00 ,981.00 ,737.21 ,125.49 ,1103.52 ,314.38 ,185.27 ,59.42 ,562.62 ,24.43 ,944.95 ,1195.84 ,753.60 ,2107.17 ,418.89 ,43.87 ,430.55 ,49.15 ,33.49 ,45.33 ,958.66 ,835.17 ,416.82 ,226.89 ,1131.24 ,489.93 ,48.57 ,5.09 ,388.84 ,2743.94 ,724.30 
2012-06,1693.70 ,2643.73 ,1755.95 ,485.63 ,2562.02 ,747.75 ,413.97 ,113.94 ,1783.19 ,476.58 ,2325.77 ,2670.96 ,1754.49 ,6402.44 ,997.24 ,483.55 ,2150.44 ,387.18 ,163.72 ,122.89 ,2854.80 ,1932.57 ,1262.79 ,858.62 ,2482.69 ,1368.24 ,458.41 ,29.33 ,891.84 ,6601.16 ,1584.10 
2012-09,2750.14 ,4440.77 ,2809.88 ,832.86 ,4087.57 ,1160.08 ,669.51 ,174.91 ,3044.61 ,1167.34 ,3758.60 ,4135.88 ,2844.67 ,11042.46 ,1691.44 ,1027.91 ,4345.52 ,856.40 ,299.26 ,206.58 ,4696.72 ,3089.46 ,2241.26 ,1601.06 ,4133.93 ,2213.70 ,1050.77 ,53.25 ,1432.80 ,10838.68 ,2545.24 
2012-12,4185.11 ,6564.80 ,4399.93 ,1227.12 ,6343.44 ,1866.03 ,1028.71 ,279.99 ,4784.38 ,2367.39 ,6081.85 ,6865.67 ,4375.69 ,17927.23 ,2729.89 ,1958.61 ,7507.97 ,1433.90 ,461.93 ,312.39 ,7203.75 ,4564.13 ,3533.54 ,2622.16 ,6255.84 ,3256.98 ,1614.74 ,84.92 ,2386.40 ,17144.72 ,3934.14 
2013-03,874.37 ,1029.86 ,926.41 ,170.01 ,1360.66 ,386.69 ,221.30 ,61.94 ,660.43 ,30.59 ,1106.47 ,1497.15 ,858.82 ,2633.17 ,552.90 ,73.24 ,518.46 ,59.53 ,38.28 ,42.05 ,1129.60 ,965.86 ,534.61 ,292.07 ,1349.57 ,547.76 ,60.94 ,9.07 ,498.82 ,3276.75 ,866.47 
2013-06,2012.80 ,3009.16 ,2205.48 ,600.70 ,3134.03 ,917.66 ,528.98 ,119.64 ,2024.96 ,505.23 ,2729.60 ,3368.08 ,2082.92 ,7786.46 ,1228.59 ,555.17 ,2598.53 ,390.14 ,195.02 ,139.96 ,3273.11 ,2161.45 ,1574.69 ,1014.87 ,2993.56 ,1531.79 ,572.01 ,19.78 ,1128.87 ,7884.01 ,1889.85 
